Location","Project Title","Federal Contribution,"Note"
Rivière-du-Loup,"Development of a downtown park",1533063,
Rivière-du-Loup,"Biomethanization project in Rivière-du-Loup",4061318,
Rivière-Héva,"Repairs to Lac Malartic Road",1410589,
Rivière-Rouge,"Program for the renewal of drinking water and wastewater pipes (PRECO)",144000,
Rivière-Rouge,"Work on Vallée de la Rouge sports and cultural centre",626380,
Rivière-Saint-Jean,"Repositioning of Highway 198 along the York River",1250000,
Rivière-St-Jean,"Road Improvements on Highway 198",1250000,
Roberval,"Development of the Lac Saint-Jean Shoreline in Downtown Roberval",2624660,
Roberval,"Program for the renewal of drinking water and wastewater pipes (PRECO)",236550,
Roberval,"Program for the renewal of drinking water and wastewater pipes (PRECO)",1051700,
Roberval,"Resurfacing Highway 169 between Val-Jalbert and Chambord - Phase 1",842500,
Roberval,"Resurfacing of Highway 167",661000,
Rosemère,"Program for the renewal of drinking water and wastewater pipes (PRECO)",39650,
Rosemère,"Program for the renewal of drinking water and wastewater pipes (PRECO)",959850,
Rosemère,"Program for the renewal of drinking water and wastewater pipes (PRECO)",231350,
Rosemère,"Program for the renewal of drinking water and wastewater pipes (PRECO)",592325,
Rougemont,"Program for the renewal of drinking water and wastewater pipes (PRECO)",135625,
Rouyn-Noranda,"Repairs to Highway 117 in Rouyn-Noranda",850000,
Rouyn-Noranda,"Construction of the Rouyn-Noranda Exhibition Centre",1751772,
Rouyn-Noranda,"Program for the renewal of drinking water and wastewater pipes (PRECO)",483765,
Rouyn-Noranda,"Dave Keon Arena",3509193,
Roxton Falls,"Repairs to 8e Rang Road",546003,
Roxton Falls,"Improvements to Highway 241 in Roxton Township and the Village of Roxton Falls",756000,
Roxton Pond,"Extension of water and sewer pipelines in Roxton Pond",1800000,
Saguenay,"Program for the renewal of drinking water and wastewater pipes (PRECO)",1100455,
Saguenay,"Program for the renewal of drinking water and wastewater pipes (PRECO)",3882950,
Saguenay,"Redevelopment of the Kénogami Town Centre",3585672,
Saguenay,"Rehabilitation of Coulombe Road",1235000,
Saguenay,"Bridge Repairs on Boudreault Avenue in the Municipality of Alma",1400000,
Saguenay,"Enhanced Bicycle Path Network in Jonquière and Integration Link with the Véloroute des Bleuets",2433333,
Saguenay,"Mellon Pavillion - St. Jacques Park",1573169,
Saguenay,"Highway 73/175 Phase 2",112500000,
Saint-Lazare,"Program for the renewal of drinking water and wastewater pipes (PRECO)",14100,
Saint-Adelme,"Drinking water upgrade ",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
Saint-Adolphe-d'Howard,"Drinking and Sewer Water Pipelines in Saint-Adolphe-d'Howard",1300000,
Saint-Adrien-d'Irlande,"Replacement of Drinking Water Distribution System",97750,
Saint-Agapit,"Program for the renewal of drinking water and wastewater pipes (PRECO)",543375,
Saint-Agapit,"Multi-purpose Centre Construction in Saint-Agapit",2511418,
Saint-Agapit,"Program for the renewal of drinking water and wastewater pipes (PRECO)",305900,
Saint-Agapit,"Replacing the rink refrigeration system at the G.H. Vermette Sports Centre",440780,
Saint-Aimé-du-Lac-des-Îles,"Construction of a New Library in Saint-Aimé-du-Lac-des-Îles",89500,
Saint-Alban,"Program for the renewal of drinking water and wastewater pipes (PRECO)",752500,
Saint-Alexandre-de-Kamouraska,"Asset Maintenance for the Saint-Alexandre Music Camp",1161000,
Saint-Alexis-de-Matapédia,"Drinking water production facility uprade",1137321,
Saint-Alexis-des-Monts,"Program for the renewal of drinking water and wastewater pipes (PRECO)",339375,
Saint-Alexis-des-Monts,"Program for the renewal of drinking water and wastewater pipes (PRECO)",127200,
Saint-Alphonse-de-Granby,"Extension of Brodeur Street",482959,
Saint-Alphonse-Rodriguez,"Program for the renewal of drinking water and wastewater pipes (PRECO)",458625,
Saint-Alphonse-Rodriguez,"Upgrades to Water Infrastructure",7660999,
Saint-Ambroise,"Program for the renewal of drinking water and wastewater pipes (PRECO)",640135,
Saint-Ambroise,"Program for the renewal of drinking water and wastewater pipes (PRECO)",581195,
Saint-Ambroise-de-Kildare,"Program for the renewal of drinking water and wastewater pipes (PRECO)",120000,
Saint-Ambroise-de-Kildare,"Wastewater Treatment on 30th Avenue",127500,
Saint-Anaclet-de-Lessard,"Program for the renewal of drinking water and wastewater pipes (PRECO)",769800,
Saint-André,"Repairs to Route 132 in Saint-André",775000,
Saint-André-Avellin,"Program for the renewal of drinking water and wastewater pipes (PRECO)",368250,
Saint-André-d'Argenteuil,"Program for the renewal of drinking water and wastewater pipes (PRECO)",789950,
Saint-Anicet,"Community Hall Transformation",253927,
Saint-Anne-de-la-Pocatière,"Program for the renewal of drinking water and wastewater pipes (PRECO)",146280,
Saint-Anne-de-Sorel,"Program for the renewal of drinking water and wastewater pipes (PRECO)",715875,
Saint-Anselme,"Program for the renewal of drinking water and wastewater pipes (PRECO)",46875,
Saint-Antoine-de-Tilly,"Program for the renewal of drinking water and wastewater pipes (PRECO)",405450,
Saint-Antoine-sur-Richelieu,"Expansion of the Saint-Antoine-sur-Richelieu community centre",86130,
Saint-Apollinaire,"Program for the renewal of drinking water and wastewater pipes (PRECO)",259200,
Saint-Apollinaire,"Multipurpose Centre",3230000,
Saint-Arsène,"Program for the renewal of drinking water and wastewater pipes (PRECO)",264350,
Saint-Augustin-de-Desmaures,"Repairs to the Shoulder of Highway 40 in the Municipality of Québec City",1585000,
Saint-Augustin-de-Desmaures,"François-Leclerc Industrial Park",846125,
Saint-Barnabé,"Program for the renewal of drinking water and wastewater pipes (PRECO)",376250,
Saint-Barnabé,"Program for the renewal of drinking water and wastewater pipes (PRECO)",400000,
Saint-Barnabé,"Program for the renewal of drinking water and wastewater pipes (PRECO)",455875,
Saint-Barnabé-Sud,"Wastewater Treatment",2707185,
Saint-Basile-le-Grand,"Program for the renewal of drinking water and wastewater pipes (PRECO)",97125,
Saint-Basile-le-Grand,"Program for the renewal of drinking water and wastewater pipes (PRECO)",690720,
Saint-Bernard-de-Lacolle,"Reinstallation of Backfill for Embankment Structures on Highway 15",3575000,
Saint-Bernard-de-Michaudville,"Saint-Bernard-de-Michaudville wastewater treatment",1657500,
Saint-Blaise-sur-Richelieu,"Community and recreation centre improvements",464106,
Saint-Boniface-de-Shawinigan,"Program for the renewal of drinking water and wastewater pipes (PRECO)",229645,
Saint-Boniface-de-Shawinigan,"Program for the renewal of drinking water and wastewater pipes (PRECO)",301605,
Saint-Boniface-de-Shawinigan,"Program for the renewal of drinking water and wastewater pipes (PRECO)",368550,
Saint-Boniface-de-Shawinigan,"Repairing Route 153",625000,
Saint-Boniface-de-Shawinigan,"Roadway Repairs to Highway 55",3150000,
Saint-Bruno,"Program for the renewal of drinking water and wastewater pipes (PRECO)",925120,
Saint-Bruno,"Program for the renewal of drinking water and wastewater pipes (PRECO)",332550,
Saint-Bruno-de-Guigues,"Program for the renewal of drinking water and wastewater pipes (PRECO)",283415,
Saint-Bruno-de-Guigues,"Repairs to Route 101 in Saint-Bruno-de-Guigues",950000,
Saint-Bruno-de-Montarville,"Program for the renewal of drinking water and wastewater pipes (PRECO)",620545,
Saint-Bruno-de-Montarville,"Program for the renewal of drinking water and wastewater pipes (PRECO)",304375,
Saint-Casimir,"Program for the renewal of drinking water and wastewater pipes (PRECO)",59500,
Saint-Célestin,"Program for the renewal of drinking water and wastewater pipes (PRECO)",98700,
Saint-Célestin,"Program for the renewal of drinking water and wastewater pipes (PRECO)",646875,
Saint-Célestin,"Program for the renewal of drinking water and wastewater pipes (PRECO)",15750,
Saint-Célestin,"Program for the renewal of drinking water and wastewater pipes (PRECO)",72500,
Saint-Césaire,"Program for the renewal of drinking water and wastewater pipes (PRECO)",89200,
Saint-Césaire,"Program for the renewal of drinking water and wastewater pipes (PRECO)",74375,
Saint-Césaire,"Program for the renewal of drinking water and wastewater pipes (PRECO)",77250,
Saint-Césaire,"Highway 112 Repairs",1315000,
Saint-Césaire,"Program for the renewal of drinking water and wastewater pipes (PRECO)",40625,
Saint-Césaire,"Program for the renewal of drinking water and wastewater pipes (PRECO)",307500,
Saint-Charles-de-Bellechasse,"Upgrading of drinking water facilities",1708164,
Saint-Charles-de-Borromée,"Program for the renewal of drinking water and wastewater pipes (PRECO)",1533065,
Saint-Charles-sur-Richelieu,"Water and wastewater Infrastructure ",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
Saint-Chrysostome,"Program for the renewal of drinking water and wastewater pipes (PRECO)",869500,
Saint-Chrysostome,"Program for the renewal of drinking water and wastewater pipes (PRECO)",94500,
Saint-Chrysostome,"Expansion of the recreation centre in Saint-Chrysostome",47548,
Saint-Colomban,"Repairs to Côte Saint-Nicholas road",1824592,
Saint-Côme-Linière,"Program for the renewal of drinking water and wastewater pipes (PRECO)",135500,
Saint-Côme-Linière,"Program for the renewal of drinking water and wastewater pipes (PRECO)",206250,
Saint-Cuthbert,"Wastewater treatment in Saint-Cuthbert",1898941,
Saint-Cyprien-de-Napierville,"Louis-Santerre Sports Centre",3091304,
Saint-Cyrille-de-Wendover,"Program for the renewal of drinking water and wastewater pipes (PRECO)",96600,
Saint-Damase,"Sewage and water treatment",1702293,
Saint-Damien-de-Buckland,"Repairs to Route 279 in Saint-Damien-de-Buckland",825000,
Saint-David-de-Falardeau,"Sewage System Renewal",1824820,
Saint-Denis,"Municipal Complex",730407,
Saint-Denis-de-Brompton,"Program for the renewal of drinking water and wastewater pipes (PRECO)",30000,
Saint-Denis-sur-Richelieu,"Program for the renewal of drinking water and wastewater pipes (PRECO)",58635,
Saint-Denis-sur-Richelieu,"Program for the renewal of drinking water and wastewater pipes (PRECO)",603150,
Saint-Denis-sur-Richelieu,"Highway 137 Resurfacing",1457500,
Saint-Denis-sur-Richelieu,"Pipeline Renewal Program  (PRECO) ? Saint-Denis-sur-Richelieu",1065510,
Saint-Denis-sur-Richelieu,"Conversion of a skating rink to a multipurpose surface",106666,
Saint-Denis-sur-Richelieu,"Upgrades to the water filtration plant",3625000,
Saint-Dominique,"Program for the renewal of drinking water and wastewater pipes (PRECO)",376175,
Saint-Dominique-du-Rosaire,"Waste Water and Drinking Water Projects in Saint-Dominique-du-Rosaire",2433867,
Saint-Edmond-les-Plaines,"Program for the renewal of drinking water and wastewater pipes (PRECO)",55575,
Saint-Édouard-de-Fabre,"Repairs to Route 101 in Saint-Édouard-de-Fabre",640000,
Saint-Édouard-de-Fabre,"Program for the renewal of drinking water and wastewater pipes (PRECO)",307125,
Saint-Édouard-de-Maskinongé,"Program for the renewal of drinking water and wastewater pipes (PRECO)",680200,
Saint-Élie-de-Caxton,"Program for the renewal of drinking water and wastewater pipes (PRECO)",403500,
Saint-Élie-de-Caxton,"Program for the renewal of drinking water and wastewater pipes (PRECO)",176250,
Saint-Élie-de-Caxton,"Road repairs between Saint-Élie-de-Caxton and Saint-Paulin",435557,
Saint-Elzéar,"Program for the renewal of drinking water and wastewater pipes (PRECO)",82935,
Saint-Elzéar,"Program for the renewal of drinking water and wastewater pipes (PRECO)",128250,
Saint-Eugène-d'Argentenay,"Program for the renewal of drinking water and wastewater pipes (PRECO)",51350,
Saint-Eugène-de-Ladrière,"Improvements to Nicolas-Rioux Road",127486,
Saint-Eustache,"Program for the renewal of drinking water and wastewater pipes (PRECO)",135720,
Saint-Eustache,"Program for the renewal of drinking water and wastewater pipes (PRECO)",429360,
Saint-Eustache,"Program for the renewal of drinking water and wastewater pipes (PRECO)",319140,
Saint-Eustache,"Program for the renewal of drinking water and wastewater pipes (PRECO)",278400,
Saint-Eustache,"Program for the renewal of drinking water and wastewater pipes (PRECO)",232800,
Saint-Eustache,"Program for the renewal of drinking water and wastewater pipes (PRECO)",201600,
Saint-Eustache,"Program for the renewal of drinking water and wastewater pipes (PRECO)",332250,
Saint-Eustache,"Program for the renewal of drinking water and wastewater pipes (PRECO)",171750,
Saint-Eustache,"Program for the renewal of drinking water and wastewater pipes (PRECO)",32025,
Saint-Eustache,"Highways 640/148 Interchange in Saint-Eustache",7100000,
Saint-Eustache,"Program for the renewal of drinking water and wastewater pipes (PRECO)",33375,
Saint-Eustache,"Modifications to the wastewater treatment plant",182750,
Saint-Félicien,"Program for the renewal of drinking water and wastewater pipes (PRECO)",1031300,
Saint-Félicien,"Saint-Félicien Marina and Municipal Wharf",1760000,
Saint-Félix-d'Otis,"Repairs to Lac Goth and Vieux-Chemin roads",910647,
Saint-Félix-d'Otis,"Drinking water upgrade ",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
Saint-Félix-de-Kingsey,"Construction of a municipal library and conversion of the Municipal Hall into a multipurpose hall",196860,
Saint-Félix-de-Valois,"Program for the renewal of drinking water and wastewater pipes (PRECO)",409850,
Saint-Félix-de-Valois,"Upgrades to Drinking Water Infrastructure",400000,
Saint-Flavien,"Multipurpose Municipal Building",513865,
Saint-François-du-Lac,"Program for the renewal of drinking water and wastewater pipes (PRECO)",108500,
Saint-Frédéric,"Repairs to Route 112 in Saint-Frédéric, Vallée-Jonction and Tring-Jonction",1015000,
Saint-Fulgence,"Program for the renewal of drinking water and wastewater pipes (PRECO)",157000,
Saint-Fulgence,"Rebuilding a Culvert Over de la Loutre River",1350000,
Saint-Gabriel-de-Brandon,"Program for the renewal of drinking water and wastewater pipes (PRECO)",147750,
Saint-Gédéon,"Program for the renewal of drinking water and wastewater pipes (PRECO)",690765,
Saint-Gédéon-de-Beauce,"Program for the renewal of drinking water and wastewater pipes (PRECO)",180950,
Saint-Georges,"Program for the renewal of drinking water and wastewater pipes (PRECO)",1430975,
Saint-Georges,"Extension of 25th Avenue and connection to 74th Street",589916,
Saint-Georges,"Repairs - 115th Street and 2nd Avenue, Saint-Georges",149162,
Saint-Georges,"Upgrades to Wastewater Infrastructure",107595,
Saint-Germain-de-Grantham,"Program for the renewal of drinking water and wastewater pipes (PRECO)",812950,
Saint-Germain-de-Grantham,"Program for the renewal of drinking water and wastewater pipes (PRECO)",79700,
Saint-Gilbert,"Program for the renewal of drinking water and wastewater pipes (PRECO)",334500,
Saint-Gilbert,"Program for the renewal of drinking water and wastewater pipes (PRECO)",393750,
Saint-Henri,"Program for the renewal of drinking water and wastewater pipes (PRECO)",331800,
Saint-Henri,"Program for the renewal of drinking water and wastewater pipes (PRECO)",117030,
Saint-Henri-de-Taillon,"Program for the renewal of drinking water and wastewater pipes (PRECO)",206885,
Saint-Henri-de-Taillon,"Program for the renewal of drinking water and wastewater pipes (PRECO)",680490,
Saint-Hippolyte,"Revitalizing the village centre in Saint-Hippolyte",405971,
Saint-Honoré,"Program for the renewal of drinking water and wastewater pipes (PRECO)",1030885,
Saint-Honoré,"Repairs to Route 269",677333,
Saint-Honoré,"Program for the renewal of drinking water and wastewater pipes (PRECO)",444250,
Saint-Honoré-de-Témiscouata,"Roadway Repairs on Highway 291",575000,
Saint-Hugues,"Rehabilitation of the Yamaska Highway Bridge in Saint-Hugues",1455000,
Saint-Hyacinthe,"Program for the renewal of drinking water and wastewater pipes (PRECO)",379805,
Saint-Hyacinthe,"Program for the renewal of drinking water and wastewater pipes (PRECO)",474925,
Saint-Hyacinthe,"Construction of a recreation and aquatic complex in Saint-Hyacinthe",5294958,
Saint-Hyacinthe,"Water pipe construction and infrastructure rehabilitation",1885001,
Saint-Hyacinthe,"Biomethanization project in Saint-Hyacinthe",11387011,
Saint-Irénée,"Program for the renewal of drinking water and wastewater pipes (PRECO)",328000,
Saint-Isidore,"Pavement Reinforcement on Route 173",1025000,
Saint-Isidore-de-Clifton,"Program for the renewal of drinking water and wastewater pipes (PRECO)",134300,
Saint-Jacques,"Pipeline replacements in Saint-Jacques",1920434,
Saint-Jacques-de-Leeds,"Saint-Jacques-de-Leeds drinking and waste water systems upgrade",5280551,
Saint-Jacques-le-Mineur,"Landry Park wastewater treatment",461762,
Saint-Janvier-de-Joly,"Construction of a multipurpose centre in Joly",550000,
Saint-Jean-de-Brébeuf,"Residential Development - Bullard Site",401318,
Saint-Jean-de-Matha,"Program for the renewal of drinking water and wastewater pipes (PRECO)",222030,
Saint-Jean-de-Matha,"Renovation of Infrastructure on Sainte-Louise Road",522531,
St-Jean-Port-Joli,"Construction of a permanent festival tent in Trois Bérets Park",619875,
Saint-Jean-sur-Richelieu,"Program for the renewal of drinking water and wastewater pipes (PRECO)",2132445,
Saint-Jean-sur-Richelieu,"Program for the renewal of drinking water and wastewater pipes (PRECO)",442610,
Saint-Jean-sur-Richelieu,"Program for the renewal of drinking water and wastewater pipes (PRECO)",485395,
Saint-Jean-sur-Richelieu,"Program for the renewal of drinking water and wastewater pipes (PRECO)",434610,
Saint-Jean-sur-Richelieu,"Resurfacing Route 219 in Saint-Jean-sur-Richelieu",672500,
Saint-Jean-sur-Richelieu,"Upgrade to water filtration plant for Ibreville",1900000,
Saint-Jean-sur-Richelieu,"Water and sewer works",1233334,
Saint-Joachim,"Program for the renewal of drinking water and wastewater pipes (PRECO)",140000,
Saint-Joseph-de-Beauce,"Program for the renewal of drinking water and wastewater pipes (PRECO)",277375,
Saint-Joseph-de-Beauce,"Program for the renewal of drinking water and wastewater pipes (PRECO)",287275,
Saint-Joseph-de-Sorel,"Program for the renewal of drinking water and wastewater pipes (PRECO)",91300,
Saint-Jules,"Saint-Jules Multi-Purpose Centre",372741,
Saint-Jules,"Wastewater treatment",395887,
Saint-Lambert,"Program for the renewal of drinking water and wastewater pipes (PRECO)",85920,
Saint-Lambert,"Program for the renewal of drinking water and wastewater pipes (PRECO)",859300,
Saint-Lambert,"Program for the renewal of drinking water and wastewater pipes (PRECO)",1139650,
Saint-Lambert,"Reconstruction of the Saint-Lambert recreation centre",3061604,
Saint-Lambert,"Wastewater treatment",1262906,
Saint-Lazare-de-Bellechasse,"Repairs to the Monseigneur Bilodeau Storm Sewer (phase 2) and Replacement of a Culvert",104830,
Saint-Lazarre-de-Bellechasse,"Monseigneur Bilodeau and Commerciale Street Storm Sewer Construction",250000,
Saint-Léonard-d'Aston,"Program for the renewal of drinking water and wastewater pipes (PRECO)",988010,
Saint-Léonard-d'Aston,"Richard-Lebeau Multipurpose Centre",1704618,
Saint-Liguori,"Program for the renewal of drinking water and wastewater pipes (PRECO)",148125,
Saint-Lin-Laurentides,"Program for the renewal of drinking water and wastewater pipes (PRECO)",2060295,
Saint-Louis-de-Blandford,"Highway 20 Resurfacing",1617500,
Saint-Louis-de-Blandford,"Multipurpose recreation centre",257984,
Saint-Louis-de-Gonzague,"Wastewater collection and treatment",1631489,
Saint-Louis-du-Ha! Ha!,"Phase 3 of the redevelopment of Highway 85",389681000,
Saint-Ludger,"Program for the renewal of drinking water and wastewater pipes (PRECO)",654075,
Saint-Ludger-de-Milot,"Program for the renewal of drinking water and wastewater pipes (PRECO)",777325,
Saint-Magloire,"Saint-Magloire Municipal Hall Upgrades",85000,
Saint-Malachie,"Water and Wastewater Improvements",804657,
Saint-Malachie,"Watermain Replacement",1026143,
Saint-Marc-de-Figuery,"Roadway Work on Route 111",1750000,
Saint-Marc-des-Carrières,"Program for the renewal of drinking water and wastewater pipes (PRECO)",1351400,
Saint-Marc-du-Lac-Long,"Drinking water supply and wastewater treatment",3646500,
Saint-Marcel-de-Richelieu,"Improvements to wastewater infrastructure",1275000,
Saint-Martine,"Program for the renewal of drinking water and wastewater pipes (PRECO)",125000,
Saint-Mathias-sur-Richelieu,"Program for the renewal of drinking water and wastewater pipes (PRECO)",69375,
Saint-Mathieu-de-Beloeil,"Rebuilding an Overpass Bridge on Highway 229",5875500,
Saint-Mathieu-de-Beloeil,"Program for the renewal of drinking water and wastewater pipes (PRECO)",126000,
Saint-Mathieu-du-Parc,"Program for the renewal of drinking water and wastewater pipes (PRECO)",655500,
Saint-Méthode,"Route 169 - North of Saint-Méthode (Phase 2)",1048000,
Saint-Michel,"Saint-Michel wastewater treatment infrastructure",3868652,
Saint-Michel-de-Bellechasse,"Rebuilding of the East Breakwater",66667,
Saint-Michel-des-Saints,"Repairs to Lac Taureau Road",1269926,
Saint-Michel-du-Squatec,"Program for the renewal of drinking water and wastewater pipes (PRECO)",265625,
Saint-Narcisse,"Program for the renewal of drinking water and wastewater pipes (PRECO)",2394080,
Saint-Narcisse-de-Rimouski,"Program for the renewal of drinking water and wastewater pipes (PRECO)",220625,
Saint-Nazaire,"Program for the renewal of drinking water and wastewater pipes (PRECO)",1237680,
Saint-Nazaire,"Program for the renewal of drinking water and wastewater pipes (PRECO)",1273395,
Saint-Nérée,"Program for the renewal of drinking water and wastewater pipes (PRECO)",525000,
Saint-Nérée,"Program for the renewal of drinking water and wastewater pipes (PRECO)",71875,
Saint-Norbert-d'Arthabaska,"Program for the renewal of drinking water and wastewater pipes (PRECO)",269100,
Saint-Ours,"Program for the renewal of drinking water and wastewater pipes (PRECO)",247450,
Saint-Pamphile,"Pavement Structure Repairs on Highway 204",1007500,
Saint-Pamphile,"Program for the renewal of drinking water and wastewater pipes (PRECO)",201450,
Saint-Paul,"Program for the renewal of drinking water and wastewater pipes (PRECO)",333000,
Saint-Paul,"Program for the renewal of drinking water and wastewater pipes (PRECO)",174000,
Saint-Paul-de-Montminy,"Program for the renewal of drinking water and wastewater pipes (PRECO)",142975,
Saint-Paul-de-Montminy,"Program for the renewal of drinking water and wastewater pipes (PRECO)",221425,
Saint-Paulin,"Road repairs between Saint-Paulin and Saint-Élie-de-Caxton",679817,
Saint-Philémon,"Water Supply System at Massif du Sud",2061350,
Saint-Pie,"Program for the renewal of drinking water and wastewater pipes (PRECO)",771275,
Saint-Pierre-Baptiste (Plessisville),"Improvements to mountain infrastructure",149541,
Saint-Pierre-de-Broughton,"Repaving Route 271 in Saint-Pierre-de-Broughton",682500,
Saint-Placide,"Wastewater treatment",1275000,
Saint-Prime,"Program for the renewal of drinking water and wastewater pipes (PRECO)",425250,
Saint-Prime,"Program for the renewal of drinking water and wastewater pipes (PRECO)",614250,
Saint-Prime,"Construction of a multi-purpose centre",516552,
Saint-Prosper,"Program for the renewal of drinking water and wastewater pipes (PRECO)",197625,
Saint-Prosper,"Program for the renewal of drinking water and wastewater pipes (PRECO)",87500,
Saint-Prosper,"Program for the renewal of drinking water and wastewater pipes (PRECO)",1875000,
Saint-Prosper,"Water and wastewater treatment",4089035,
Saint-Raphaël,"Program for the renewal of drinking water and wastewater pipes (PRECO)",741465,
Saint-Raphaël,"Development of Godbout Community Park",24237,
Saint-Raymond,"Program for the renewal of drinking water and wastewater pipes (PRECO)",292275,
Saint-Rémi,"Program for the renewal of drinking water and wastewater pipes (PRECO)",383200,
Saint-Rémi,"Program for the renewal of drinking water and wastewater pipes (PRECO)",758145,
Saint-René-de-Matane,"Repairs to Route 195 in Saint-René-de-Matane and Saint-Vianney",600000,
Saint-Roch-de-l'Achigan,"Highway 339 Asphalt Repair",1130000,
Saint-Roch-de-l'Achigan,"Cultural and social complex - Saint-Roch-de-l'Achigan",680555,
Saint-Rock-de-L'Achigan,"Program for the renewal of drinking water and wastewater pipes (PRECO)",341915,
Saint-Romain,"Program for the renewal of drinking water and wastewater pipes (PRECO)",81500,
Saint-Sauveur,"Program for the renewal of drinking water and wastewater pipes (PRECO)",1778625,
Saint-Siméon,"Program for the renewal of drinking water and wastewater pipes (PRECO)",217250,
Saint-Simon,"Waste water and drinking water upgrades ",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
Saint-Sixte,"Repairs to Highway 317",945000,
Saint-Stanislas,"Repairs to Route 352 in Saint-Stanislas",435000,
Saint-Stanislas-de-Kostka,"Development of a social and cultural centre",548714,
Saint-Thomas,"Program for the renewal of drinking water and wastewater pipes (PRECO)",591990,
Saint-Thomas,"Program for the renewal of drinking water and wastewater pipes (PRECO)",1007895,
Saint-Thomas-Didyme,"Paving 3 kilometres of public roads",157802,
Saint-Tite,"Program for the renewal of drinking water and wastewater pipes (PRECO)",1993735,
Saint-Tite,"Program for the renewal of drinking water and wastewater pipes (PRECO)",61250,
Saint-Tite,"Drinking water supply",4427063,
Saint-Tite-des-Caps,"Repairs on Route 138",775000,
Saint-Tite-des-Caps,"Renovation and expansion of playing fields",276879,
Saint-Ubalde,"Program for the renewal of drinking water and wastewater pipes (PRECO)",371000,
Saint-Vallier,"Repairs to Highway 20 West in Saint-Vallier",1457500,
Saint-Vallier,"Repairs to Highway 20 West in Saint-Vallier",1800000,
Saint-Vallier,"Highway 20 Improvements",1001000,
Saint-Victor,"Program for the renewal of drinking water and wastewater pipes (PRECO)",514300,
Saint-Victor,"Pipeline Renewal Program  (PRECO) ? Saint-Victor ",977595,
Saint-Zénon,"Asphalt repairs on Highway 131 in the Municipality of Saint-Zénon",850000,
Saint-Zénon,"Drinking water treatment plant - phase II",1160613,
Saint-Zéphirin-de-Courval,"Program for the renewal of drinking water and wastewater pipes (PRECO)",277200,
Sainte-Agathe-des-Monts,"Program for the renewal of drinking water and wastewater pipes (PRECO)",630040,
Sainte-Agathe-des-Monts,"Program for the renewal of drinking water and wastewater pipes (PRECO)",184800,
Sainte-Agathe-des-Monts,"Resurfacing of Asphalt on Highway 15",1507500,
Sainte-Agathe-des-Monts,"Upgrades to Wastewater Infrastructure",7723667,
Sainte-Angèle-de-Mérici,"Repairs on the western section of Highway 234 in the Municipality of Sainte-Angèle-de-Mérici",600500,
Sainte-Angèle-de-Monnoir and Marieville,"Eastbound Highway 10 at Marieville and Ste-Angèle-de-Monnoir",4592500,
Sainte-Anne-de-Bellevue,"Program for the renewal of drinking water and wastewater pipes (PRECO)",79650,
Sainte-Anne-de-Bellevue,"Program for the renewal of drinking water and wastewater pipes (PRECO)",132200,
Sainte-Anne-de-Bellevue,"Program for the renewal of drinking water and wastewater pipes (PRECO)",80925,
Sainte-Anne-de-Sorel,"Program for the renewal of drinking water and wastewater pipes (PRECO)",1221325,
Sainte-Anne-des-Monts,"Program for the renewal of drinking water and wastewater pipes (PRECO)",157705,
Sainte-Anne-des-Monts,"Expansion and renovations to Carrefour-Ressources",51381,
Sainte-Anne-des-Plaines,"Program for the renewal of drinking water and wastewater pipes (PRECO)",99375,
Sainte-Anne-des-Plaines,"Program for the renewal of drinking water and wastewater pipes (PRECO)",545250,
Sainte-Anne-des-Plaines,"Development of a Wastewater Retention Basin",884850,
Sainte-Anne-des-Plaines,"Repairs to access roads",2038774,
Sainte-Anne-du-Lac,"Program for the renewal of drinking water and wastewater pipes (PRECO)",269050,
Sainte-Anne-du-Sault,"Expansion of Daveluyville Industrial Park",1589036,
Sainte-Apolline-de-Patton,"Wastewater collection and treatment",1896439,
Sainte-Barbe,"Highway 132 Repairs",1190000,
Sainte-Béatrix,"Program for the renewal of drinking water and wastewater pipes (PRECO)",845250,
Sainte-Brigitte-des-Saults,"Water system work",1497543,
Sainte-Catherine,"Program for the renewal of drinking water and wastewater pipes (PRECO)",384900,
Sainte-Catherine,"Rehabilitation of Saint-Laurent boulevard",1351424,
Sainte-Catherine,"Water Treatment Station Upgrades",5968719,
Sainte-Catherine-de-Hatley,"Repaving Highway 55 in the Municipality of Sainte-Catherine-de-Hatley",577500,
Sainte Catherine de la Jacques Cartier,"Program for the renewal of drinking water and wastewater pipes (PRECO)",81200,
Sainte Catherine de la Jacques Cartier,"Program for the renewal of drinking water and wastewater pipes (PRECO)",498000,
Sainte-Cécile-de-Whitton,"Wastewater collection and treatment",1310452,
Sainte-Claire,"Development of a Community Park",79071,
Sainte-Clotilde-de-Beauce,"Conversion of a Church to a Multipurpose Centre",195177,
Sainte-Clotilde-de-Beauce,"Industrial Park Development - Municipal Infrastructure",128882,
Sainte-Clotilde-de-Horton,"Program for the renewal of drinking water and wastewater pipes (PRECO)",365280,
Sainte-Croix,"Program for the renewal of drinking water and wastewater pipes (PRECO)",97800,
Sainte-Croix,"Program for the renewal of drinking water and wastewater pipes (PRECO)",170595,
